,model,score
0,firebolt/llama_or_what2,-0.38071442
1,google/vit-base-patch16-224,-0.35141754
2,nateraw/denver-nyc-paris,-0.38071442
3,black/simple_kitchen,-0.38071442
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,-0.38071442
5,Suzana/new-york-tokyo-london,-0.38071442
6,filipafcastro/beer_vs_wine,-0.38071442
7,nateraw/baked-goods,-0.38071442
8,ajanco/greens,-0.38071442
9,nateraw/vit-base-beans-demo,-0.38071442
10,HHousen/household-rooms,-0.38071442
11,Amrrs/indian-foods,-0.34165192
12,nateraw/planes-trains-automobiles,-0.38071442
13,julien-c/hotdog-not-hotdog,-0.38071442
14,jmarshall/rare-puppers,-0.38071442
15,nielsr/vit-finetuned-eurosat-kornia,-0.38071442
16,eren23/pneumonia_test_attempt,-0.38071442
17,micole66/dwarf-goats,-0.38071442
18,nateraw/ex-for-evan,-0.38071442
19,karthiksv/vit-base-patch16-224-cifar10,-0.38071442
20,ferdinand/rare-puppers,-0.33383942
21,ipvikas/rare-puppers,-0.38071442
22,Frodnar/bee-likes,-0.33872223
23,nickmuchi/vit-base-beans,-0.72348785
24,nateraw/baseball-stadium-foods,-0.38071442
25,Giuliano/places,-0.38071442
26,firas-spanioli/beer-whisky-wine-detection,-0.38071442
27,jjhoffstein/lotr,-0.38071442
28,Nonem100/Test-Model,-0.38071442
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,-0.3396988
30,LorenzoDeMattei/lawn-weeds,-0.38071442
31,nateraw/doggos-lol,-0.38071442
32,IDEA-CCNL/Taiyi-vit-87M-D,-0.38071442
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,-0.38071442
34,karthiksv/vit-base-beans,-0.38071442
35,Symbermine/rare-puppers,-0.38071442
36,nateraw/vit-base-patch16-224-cifar10,-0.38071442
37,gatecitypreservation/architectural_styles,-0.38071442
38,Amrrs/south-indian-foods,-0.38071442
39,hafidber/fruits,-0.38071442
40,nateraw/rare-puppers-123,-0.38071442
41,Aftabhussain/Tomato_Leaf_Classifier,-0.38071442
42,nickmuchi/vit-base-xray-pneumonia,-0.38071442
43,Neto71/sea_mammals,-0.37485504
44,lewtun/oz-fauna,-0.38071442
45,hgarg/fruits,-0.38071442
46,jasmeen/dogs,-0.38071442
47,b25mayank3/shirt_identifier,-0.34067535
48,jeffboudier/vision-transformers-spain-or-italy-fan,-0.38071442
49,facebook/convnext-base-224-22k,-0.38071442
50,nickmuchi/vit-finetuned-cats-dogs,-0.33579254
51,godiec/diam,-0.38071442
52,Rajaram1996/FacialEmoRecog,-0.38071442
53,nateraw/vit-base-beans-demo-v3,-0.36118317
54,firebolt/llama_or_what,-0.38071442
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,-0.38071442
56,johnnydevriese/vit_beans,-0.38071442
57,nateraw/vit-age-classifier,-0.38071442
58,nateraw/vit-base-beans-demo-v2,-0.38071442
59,mmekias/vit-base-beans,-0.38071442
60,juanfiguera/ice_cream,-0.38071442
61,drab/Infrastructures,-0.38071442
62,nateraw/vit-base-beans,-0.38071442
63,Sena/dog,-0.33383942
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,-0.38071442
65,hafidber/rare-puppers,-0.38071442
66,edixo/road_good_damaged_condition,-0.38071442
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,-0.38071442
68,Sena/flowers,-0.38071442
