,model,target_dataset,model_name,dataset_name,task_type,metric,batch_size,dataset_path,runtime,score
0,Jeevesh8/6ep_bert_ft_cola-47,glue/cola,Jeevesh8/6ep_bert_ft_cola-47,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,8.033312559127808,1.0564436716388772
1,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,glue/cola,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.751770257949829,1.042385547369847
2,Jeevesh8/6ep_bert_ft_cola-12,glue/cola,Jeevesh8/6ep_bert_ft_cola-12,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,10.463740348815918,1.0190818833847275
3,Jeevesh8/6ep_bert_ft_cola-29,glue/cola,Jeevesh8/6ep_bert_ft_cola-29,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.885305881500244,0.994459788885424
4,connectivity/cola_6ep_ft-22,glue/cola,connectivity/cola_6ep_ft-22,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.869605779647827,0.774911956132149
5,connectivity/cola_6ep_ft-10,glue/cola,connectivity/cola_6ep_ft-10,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.659385681152344,0.7496657373308888
6,connectivity/cola_6ep_ft-33,glue/cola,connectivity/cola_6ep_ft-33,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,10.356728315353394,0.6929811323789778
7,jaesun/distilbert-base-uncased-finetuned-cola,glue/cola,jaesun/distilbert-base-uncased-finetuned-cola,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,4.509796619415283,0.6039297217699113
8,vesteinn/XLMR-ENIS-finetuned-cola,glue/cola,vesteinn/XLMR-ENIS-finetuned-cola,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.701174974441528,0.5770602423267188
9,navsad/navid_test_bert,glue/cola,navsad/navid_test_bert,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.273785829544067,0.5320702279824825
10,riyadhctg/distilbert-base-uncased-finetuned-cola,glue/cola,riyadhctg/distilbert-base-uncased-finetuned-cola,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.729792356491089,0.4800662079096028
11,Jeevesh8/bert_ft_cola-88,glue/cola,Jeevesh8/bert_ft_cola-88,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.956295490264893,0.4449334230498727
12,usami/distilbert-base-uncased-finetuned-cola,glue/cola,usami/distilbert-base-uncased-finetuned-cola,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.053242444992065,0.4244621377725232
13,Jeevesh8/bert_ft_cola-60,glue/cola,Jeevesh8/bert_ft_cola-60,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,8.455518007278442,0.3903894213862446
14,roberta-large,glue/cola,roberta-large,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,13.097436904907228,-0.4522869830148677
15,roberta-base,glue/cola,roberta-base,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,6.699691295623779,-0.4932626456809175
16,bert-large-uncased,glue/cola,bert-large-uncased,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,13.529369831085203,-0.4940718778067205
17,cardiffnlp/twitter-roberta-base-2021-124m,glue/cola,cardiffnlp/twitter-roberta-base-2021-124m,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.576062917709351,-0.5125897130536815
18,bert-base-cased,glue/cola,bert-base-cased,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,6.700160980224609,-0.5149653991019725
19,gchhablani/bert-base-cased-finetuned-rte,glue/cola,gchhablani/bert-base-cased-finetuned-rte,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,6.798853874206543,-0.5224877812602544
20,michiyasunaga/LinkBERT-base,glue/cola,michiyasunaga/LinkBERT-base,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.969423055648804,-0.5236354022639785
21,gchhablani/bert-base-cased-finetuned-wnli,glue/cola,gchhablani/bert-base-cased-finetuned-wnli,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,10.34810709953308,-0.5266239678428417
22,anirudh21/bert-base-uncased-finetuned-qnli,glue/cola,anirudh21/bert-base-uncased-finetuned-qnli,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.934676647186279,-0.5289416628152428
23,bert-base-uncased,glue/cola,bert-base-uncased,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.387226581573486,-0.5316258568720755
24,ncduy/roberta-imdb-sentiment-analysis,glue/cola,ncduy/roberta-imdb-sentiment-analysis,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,4.719108819961548,-0.5337000557451064
25,Alassea/glue_sst_classifier,glue/cola,Alassea/glue_sst_classifier,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.793945074081421,-0.5337040292182224
26,boychaboy/MNLI_roberta-base,glue/cola,boychaboy/MNLI_roberta-base,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,8.189259052276611,-0.5357494110077703
27,manueltonneau/bert-twitter-en-is-hired,glue/cola,manueltonneau/bert-twitter-en-is-hired,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,10.343629837036133,-0.5360893115716967
28,Jeevesh8/bert_ft_qqp-88,glue/cola,Jeevesh8/bert_ft_qqp-88,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.689322233200073,-0.5381437268363782
29,aychang/bert-base-cased-trec-coarse,glue/cola,aychang/bert-base-cased-trec-coarse,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.784799098968506,-0.5398754073041498
30,Jeevesh8/bert_ft_qqp-9,glue/cola,Jeevesh8/bert_ft_qqp-9,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,9.944368839263916,-0.5427798516301794
31,ali2066/DistilBERTFINAL_ctxSentence_TRAIN_editorials_TEST_NULL_second_train_set_null_False,glue/cola,ali2066/DistilBERTFINAL_ctxSentence_TRAIN_editorials_TEST_NULL_second_train_set_null_False,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.641626834869385,-0.5429880219502787
