,model,score
0,vaariis/distilbert-base-uncased-finetuned-emotion,1.1624009677011797
1,connectivity/cola_6ep_ft-33,1.2151243179087219
2,usami/distilbert-base-uncased-finetuned-cola,1.2108663942670344
3,vesteinn/XLMR-ENIS-finetuned-cola,1.2344681711801848
4,connectivity/cola_6ep_ft-10,1.2557836618539477
5,Jeevesh8/init_bert_ft_qqp-33,1.238488084724902
6,Jeevesh8/init_bert_ft_qqp-33,1.2353192620047813
7,philschmid/tiny-distilbert-classification,0.41773471759686
8,w11wo/sundanese-bert-base-emotion-classifier,0.905411674882637
9,aXhyra/demo_sentiment_31415,1.1841100924880206
10,cambridgeltl/guardian_news_distilbert-base-uncased,1.2263457862973224
11,Jeevesh8/feather_berts_46,1.2383985915230817
12,rmihaylov/roberta-base-sentiment-bg,1.1047584586354149
13,cardiffnlp/twitter-roberta-base-2021-124m,1.2969255169423082
14,matthewburke/korean_sentiment,0.9191105757365218
15,ali2066/DistilBERTFINAL_ctxSentence_TRAIN_editorials_TEST_NULL_second_train_set_null_False,1.2116094108923712
