,model,score
0,firebolt/llama_or_what2,-56.508667
1,google/vit-base-patch16-224,-56.508667
2,nateraw/denver-nyc-paris,-56.508667
3,black/simple_kitchen,-56.508667
4,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,-56.024292
5,Suzana/new-york-tokyo-london,-56.508667
6,filipafcastro/beer_vs_wine,-56.508667
7,nateraw/baked-goods,-56.508667
8,ajanco/greens,-56.508667
9,nateraw/vit-base-beans-demo,-56.54773
10,HHousen/household-rooms,-56.508667
11,Amrrs/indian-foods,-56.508667
12,nateraw/planes-trains-automobiles,-56.508667
13,julien-c/hotdog-not-hotdog,-56.508667
14,jmarshall/rare-puppers,-56.508667
15,nielsr/vit-finetuned-eurosat-kornia,-56.024292
16,eren23/pneumonia_test_attempt,-56.508667
17,micole66/dwarf-goats,-56.508667
18,nateraw/ex-for-evan,-56.508667
19,karthiksv/vit-base-patch16-224-cifar10,-56.508667
20,ferdinand/rare-puppers,-56.508667
21,ipvikas/rare-puppers,-56.508667
22,Frodnar/bee-likes,-56.508667
23,nickmuchi/vit-base-beans,-56.54773
24,nateraw/baseball-stadium-foods,-56.508667
25,Giuliano/places,-56.508667
26,firas-spanioli/beer-whisky-wine-detection,-56.508667
27,jjhoffstein/lotr,-56.508667
28,Nonem100/Test-Model,-56.508667
29,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,-56.508667
30,LorenzoDeMattei/lawn-weeds,-56.508667
31,nateraw/doggos-lol,-56.508667
32,IDEA-CCNL/Taiyi-vit-87M-D,-56.508667
33,nickmuchi/vit-finetuned-chest-xray-pneumonia,-56.508667
34,karthiksv/vit-base-beans,-56.508667
35,Symbermine/rare-puppers,-56.508667
36,nateraw/vit-base-patch16-224-cifar10,-56.508667
37,gatecitypreservation/architectural_styles,-56.508667
38,Amrrs/south-indian-foods,-56.508667
39,hafidber/fruits,-56.508667
40,nateraw/rare-puppers-123,-56.508667
41,Aftabhussain/Tomato_Leaf_Classifier,-56.508667
42,nickmuchi/vit-base-xray-pneumonia,-56.508667
43,Neto71/sea_mammals,-56.508667
44,lewtun/oz-fauna,-56.508667
45,hgarg/fruits,-56.508667
46,jasmeen/dogs,-56.508667
47,b25mayank3/shirt_identifier,-56.508667
48,jeffboudier/vision-transformers-spain-or-italy-fan,-56.508667
49,facebook/convnext-base-224-22k,-56.508667
50,nickmuchi/vit-finetuned-cats-dogs,-56.508667
51,godiec/diam,-56.508667
52,Rajaram1996/FacialEmoRecog,-56.508667
53,nateraw/vit-base-beans-demo-v3,-56.54773
54,firebolt/llama_or_what,-56.508667
55,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,-56.508667
56,johnnydevriese/vit_beans,-56.508667
57,nateraw/vit-age-classifier,-56.508667
58,nateraw/vit-base-beans-demo-v2,-56.54773
59,mmekias/vit-base-beans,-56.508667
60,juanfiguera/ice_cream,-56.508667
61,drab/Infrastructures,-56.508667
62,nateraw/vit-base-beans,-56.54773
63,Sena/dog,-56.508667
64,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,-56.508667
65,hafidber/rare-puppers,-56.508667
66,edixo/road_good_damaged_condition,-56.508667
67,AykeeSalazar/vc-bantai-vit-withoutAMBI,-56.508667
68,Sena/flowers,-56.508667
69,matteopilotto/vit-base-patch16-224-in21k-snacks,-56.508667
70,johnnydevriese/vit-airplanes,-56.508667
71,nateraw/pasta-shapes,-56.508667
72,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,-56.508667
73,hgarg/indian-snacks,-56.508667
74,nateraw/vit-base-food101,-56.508667
75,Hijazzi/rare-puppers,-56.508667
76,nateraw/trainer-rare-puppers,-56.508667
77,ibombonato/vit-age-classifier,-56.508667
78,nateraw/rare-puppers-new-auth,-56.508667
79,SriramSridhar78/sriram-car-classifier,-56.508667
80,ismgar01/vit-base-cats-vs-dogs,-56.508667
81,nateraw/rare-puppers,-56.508667
82,iyzg/computer-stuff,-56.508667
83,nateraw/huggingpics-package-demo-2,-56.508667
84,imjeffhi/pokemon_classifier,-56.508667
85,nateraw/pasta-pizza-ravioli,-56.508667
86,akahana/vit-base-cats-vs-dogs,-56.508667
87,nateraw/donut-or-bagel,-56.508667
88,nateraw/rare-puppers-09-04-2021,-56.508667
89,nateraw/vit-base-cats-vs-dogs,-56.508667
90,Zayn/VIT_Basic,-56.508667
