,model,score
0,Jeevesh8/init_bert_ft_qqp-33,0.7896718852267306
1,Jeevesh8/init_bert_ft_qqp-33,0.7896718746980371
2,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.7929405069609774
3,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.7929405015735913
4,vaariis/distilbert-base-uncased-finetuned-emotion,0.7929401525067132
5,vaariis/distilbert-base-uncased-finetuned-emotion,0.7929401470226669
6,heranm/finetuning-sentiment-model-3000-samples,0.792940506952023
7,heranm/finetuning-sentiment-model-3000-samples,0.7929405004452845
8,marcelcastrobr/sagemaker-distilbert-emotion,0.7929401526446906
9,marcelcastrobr/sagemaker-distilbert-emotion,0.7929401509725473
10,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.7929401522957567
11,jasonyim2/distilbert-base-uncased-finetuned-emotion,0.7929401509784499
12,riyadhctg/distilbert-base-uncased-finetuned-cola,0.7929405075475937
13,riyadhctg/distilbert-base-uncased-finetuned-cola,0.7929405007655586
14,dapang/distilroberta-base-mic-sym,0.7878217031025234
15,dapang/distilroberta-base-mic-sym,0.7878216952217683
16,PrasunMishra/finetuning-sentiment-model-3000-samples,0.7929405096529629
17,PrasunMishra/finetuning-sentiment-model-3000-samples,0.792940504000764
18,nurkayevaa/autonlp-bert-covid-407910458,0.7929405075333436
19,nurkayevaa/autonlp-bert-covid-407910458,0.7929405005519186
20,SetFit/distilbert-base-uncased__sst2__train-16-0,0.7929405071192979
21,SetFit/distilbert-base-uncased__sst2__train-16-0,0.7929405019137101
22,abdelkader/distilbert-base-uncased-finetuned-emotion,0.7929401537027339
23,abdelkader/distilbert-base-uncased-finetuned-emotion,0.7929401468263082
24,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,0.7929404200765899
25,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,0.7929404120982118
26,gchhablani/fnet-base-finetuned-sst2,0.787551717037358
27,Capreolus/bert-base-msmarco,0.7896718874837754
28,Capreolus/bert-base-msmarco,0.7896718741276167
29,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.789672277417814
30,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.7896722642338587
31,crcb/isear_bert,0.7975671474092185
32,crcb/isear_bert,0.7975671353164333
33,connectivity/cola_6ep_ft-33,0.7896718876724678
